Longitude,Latitude,Id,BFP_U,ISF_U,RoadDens_U,II_U,Elong_U,Veg_R,Water_R,AvgBH_U,StdBH_U,Rough_R,Elev_R,Slope,Prec,Temp,WindSpeed,Pop,GDPpc,SUHII,ElevDiff
34.3350253133,61.7854484289,776,18.18479106041965,77.54892716604917,0.2861645843019502,2.0729334343377115,3.364289781338973,54.50988895060358,30.12362480773384,10.403713125003335,4.066741162811503,1.4687532622164448,103.91873471896211,4.163224781860625,219.0,20.088889058431,2.837037116156684,182374.0,29026.7023917883,3.1413035793195263,-10.491231761715111
25.0039486296,60.2802786006,1345,18.09800055311582,68.39451398193486,6.703748061184207,3.5503053765895207,3.0486668229800795,39.02492940102032,0.61694678796043,12.212185486866971,5.400529585770811,1.5523063539995292,29.509660596867576,4.079403907391376,208.2,20.75666656494141,3.253333374023437,111005.0,86039.51368857261,2.1892317867318525,-0.1485932522448791
24.926306831,60.2010843411,1388,22.70748151561083,72.70540152622652,8.978053604596326,2.993694509879401,1.632343931184613,27.7590013708489,33.92097296996397,19.003933377315548,10.46308739721156,1.248488048549777,12.563218283224163,5.590322256552814,210.44444444444449,20.970369974772137,3.525925835503472,196465.0,81507.76533224748,0.5395028248587437,7.116615323022877
10.7920143175,59.9197715872,1538,21.14922019202044,69.7364738224028,10.408887651891938,3.214375272087217,3.484589326639018,49.34908600907342,21.0769603894387,13.834549260697784,7.150635371867751,2.567076696427032,136.0754714310586,6.5011585182216125,250.50000000000003,21.06666653951009,3.2333333079020186,392064.0,110115.75499918388,3.347825807488558,-34.96552748789915
30.3421491607,59.9207961061,1594,18.59253622379244,81.86009281802208,5.52636033520229,4.880780342459003,1.9483446725962352,36.0519455165646,16.37476216438361,16.668782727703118,9.32301305563528,0.8431407314134678,23.74741471247569,3.78773667978686,235.1111111111111,22.29094635763285,3.392181095076196,3503368.0,48104.213553357695,3.3948787156345475,-10.00983129832984
16.5400898071,59.6159920218,1720,16.79305256587131,66.93333494675458,8.029778947140075,2.80917757911356,3.6456437608554,45.169541296549646,10.61854028298712,11.846831710168823,5.375440905143036,1.6887211372523363,30.438924562801407,4.648355616655521,173.14285714285714,22.33333347865513,2.628571428571429,72829.0,49003.70797347211,2.0518997703903814,-5.987677240738954
24.763424321,59.4270049335,1861,18.11502193249986,74.30829615954825,7.788464777799564,3.0591024851193054,5.034964796021672,33.85756278006903,26.14316757833812,12.589206604152244,4.978366135424605,1.0173513354486816,26.511304012224898,3.879072984699535,244.3333333333333,21.36666679382325,3.474999974568685,248515.0,64486.18229080744,2.3977574835109863,-1.517977707065377
56.8049669913,59.4154712069,1865,15.03227702939779,71.134840291348,0.1976081055062784,2.4800003534315738,2.2902177016591803,49.564737596298144,14.58857268116155,7.198458732220884,4.921452007195851,1.0707357144063987,129.96695819755868,4.159538539451042,174.75,21.95833320617676,2.95,82899.0,24120.39643421513,2.4680564971751515,14.2937192383705
18.0217220239,59.3180039986,1988,24.24221747376956,69.49034863185513,10.835000857207978,4.383282638239886,2.527213770680775,48.8660080075871,16.674449184983057,18.04876676785765,8.113542761287224,2.092026422268721,26.432484134325826,6.19866304187733,160.0,21.692156892664293,3.737254907944623,535806.0,120261.30388984075,1.984731601731596,0.6000323078685597
39.8859730246,59.2136910083,2058,15.732666653445628,79.46855579525128,0.3499612748817591,2.0633053721013863,2.926843599254511,15.59742831069787,0.95352455912456,8.378581764252555,4.364128112455336,0.7812939979282731,126.49359653847418,3.6043524077747655,230.125,21.51666641235352,2.5,203209.0,30858.97990738599,1.9098541773889792,-3.554699973288919
37.8973305429,59.1360087771,2106,21.67091216547378,82.4596901147888,0.3417471345306104,2.5126433597607574,5.034964796021672,20.88691795124582,33.02897461789654,10.427523177346131,5.143612515723651,0.7753394603696837,117.54779769391806,4.396070813002659,248.5,21.879166793823245,2.4208333015441896,217923.0,21766.64890810056,3.797934646654081,8.109283616673139
59.5115448749,58.7370358639,2232,28.08241068343265,77.87860489845802,0.1257413251290588,3.102235703254428,1.648485385049556,65.2130468414862,11.95081761981054,9.78688108048788,4.1235278726962425,2.3577598010630743,316.8722991918345,7.715057568959459,238.8571428571429,21.280952671595983,2.2666667175292967,25063.0,23684.14116426605,1.3974199134200909,-29.080482827061644
49.6312148866,58.6000122973,2273,16.87997763911449,76.15520557579262,0.2177508864666961,1.7442675536478065,2.0128739595437253,26.47649237401681,12.06544813295273,8.605193060046949,4.84853997735426,1.2514418582728013,128.7470159537898,4.678649279614543,190.63636363636363,21.551515059037644,2.787878750887784,273996.0,28597.664407509583,2.590975884606681,17.482034589228476
56.2521492098,58.0001074226,2578,17.75797803013048,75.68911864624744,0.3692021822976747,3.28778415264828,3.0854595897001,37.21153248355292,23.75107288923132,9.336733261253146,5.70543824119375,1.3255677827765853,125.3094590579489,4.902462139841162,163.86666666666665,22.0577778116862,2.7088889160156246,526937.0,4458.509326541882,2.456237009137059,15.900557190218096
60.0054045948,57.9201225973,2619,23.3562046738236,75.49860266236725,0.3978115580685861,3.0573929731082217,3.463627842565031,63.740106934597975,9.49675021769306,9.477467246625167,5.362313137803848,1.5631917096652568,237.95224122811635,4.180993478476847,245.57142857142856,21.90476183210101,2.35,279888.0,36360.36291302235,2.873700692562519,-8.534395787477877
28.3346887641,57.8152909624,2657,15.4331117617456,73.77865709996718,0.4743920280506041,2.569841218486697,3.124889749632783,24.553509892728982,2.7656529377089,11.281428194842643,4.434209487238045,1.029597921854846,47.69069719384475,3.947499996253832,217.3333333333333,22.60555572509766,2.427777760823568,135486.0,11117.164459796584,2.0306831119545485,-1.4199204867700743
40.9720197469,57.7646203659,2692,15.76110292747736,76.97003137811316,0.5229903844185926,2.091754613600223,3.241725849080332,24.0820373475209,22.84493344636486,8.277192851343708,3.0924338717033018,1.3524786874221577,109.09320211211688,3.976951548468204,165.66666666666666,21.722222391764323,2.433333282470703,147645.0,16964.781076230145,2.032080200501184,7.188023968519332
11.9384846629,57.7026800529,2757,22.39614818063366,69.9110459845111,8.49299295798727,4.536147229777521,2.600263835905306,51.65478964248057,16.52111150031255,14.033650315270828,4.841417713110249,2.291312141831845,38.66017473653653,5.519137606310223,277.30769230769226,20.73333352895884,4.684615408090445,303309.0,74534.2190175695,1.943155433167305,-18.852153174646705
39.8383365009,57.6311924739,2785,16.34993018017357,76.94561371904088,0.4354628971138849,2.884768259110309,2.1563278087380944,14.94335171167852,17.11398104116998,8.622606677311795,3.8260930532298594,0.9358189956301868,105.81211263121617,3.957191939825397,165.66666666666669,22.247222391764325,2.5,318172.0,27064.718576744664,2.2958830409356814,4.036714455667294
-2.11806620388,57.1455206189,3039,18.47268700524837,76.4158710207179,10.39857081645878,2.365650460446865,1.2565979772068738,14.292349199876108,13.720707481152589,10.293360657175876,3.2596036195683245,1.5434563802850905,52.3547611653016,4.0899690773877895,215.0,19.047910521874066,4.671428571428571,163754.0,49911.26379202949,2.107336860670156,1.599694795920627
65.5761112936,57.1521827112,3055,27.26097559452371,79.07530993361794,0.2430416934510599,3.662240706195017,2.3295704235526484,63.09639518785579,3.62511287599985,11.24640519405002,4.453514321421332,0.9644047577090784,72.231814233433,2.9113337735824283,148.5909090909091,23.74848466352984,2.8000000000000003,574818.0,94252.38933888653,2.658209757343684,0.1410693619165499
9.92312288198,57.0398825909,3112,16.07296893201572,66.50323753534873,9.985583855551024,3.4504095110337176,2.060529941216467,11.1485870468732,19.708048019298168,10.409567418905908,4.108021143975524,0.8320509993819782,8.585701823077226,3.649649133646296,210.25,20.54166660308838,4.850000076293945,68651.0,70445.55461683005,1.5107929292930748,8.28968911501951
40.9810006718,56.9946113291,3169,15.44181350899412,81.52158297463582,0.3190346867189549,2.388295945228519,1.9486926045842945,34.11812650565116,1.73538354165967,8.725084076169436,3.0306164742135207,1.2318638618102415,129.70426525074646,3.278752968462005,146.33333333333334,22.09259253607856,2.5,303248.0,15275.587166279744,2.858730377166125,-0.9688840250813656
24.1537841878,56.9625236807,3226,19.43620806320853,76.02356659613714,8.206487716894829,2.346678675544509,2.2043678290256645,39.23439091194237,25.95763291630067,13.55949399754199,4.411098812247794,1.1938665603587553,9.975503211226885,4.04011438355032,262.4166666666667,21.99444414774577,2.752777760823568,317320.0,49703.11153724947,2.442857142857065,-0.3738858958178159
35.8900020858,56.8520678467,3303,16.68487959404755,75.44128625176229,0.4063882458492729,2.899974491649691,2.740603059790329,20.51013117970973,4.59178515558984,8.215614050178823,4.026772198405299,0.8618811404868958,137.24540152907218,3.104707380703913,281.8888888888889,22.633333333333336,2.366666717529297,278402.0,22156.9200005747,2.1121825483753582,-0.5635785077577964
53.2232986387,56.8481764583,3345,16.85188181211774,81.46703061283768,0.3837647398786759,3.0180233698344416,3.244685787573606,45.15839102950337,13.429489471147113,9.300808750428182,3.95299001265693,1.4229126644250745,127.3232312668855,4.19252777311659,142.5,23.202777989705407,3.0749999237060543,549506.0,22626.62214607303,2.724333045231901,11.58801513451533
60.5992582553,56.8381404914,3395,21.29262689114459,82.09076597237583,5.578387320436256,2.8366930568693056,1.5680916755035423,64.16006452869797,16.19934477631391,10.008461969897008,4.917121019828156,1.6483585421081497,277.36776685851385,4.209265331447701,209.73913043478265,22.486956389054004,2.385507268490999,949989.0,28505.683805812496,4.488576117923856,-8.155195927804186
47.8793822423,56.6354257968,3487,16.306457893814912,78.7046239079395,0.2413066247480666,2.584867084046893,4.768199250519253,13.96771965938762,4.02571929159478,8.65075640907875,3.789936575659094,0.7530313388395496,98.93231300551112,3.33515563777124,181.2,22.02666687011719,3.159999938964844,234373.0,14128.40091648782,2.3565752409191987,1.895475685592544
-2.95054462304,56.4758186567,3599,18.28063433183611,70.5809690824739,11.808352881860426,2.823382689575744,5.034964796021672,6.3994438226794905,27.35092287425422,9.226409932006302,2.506443923252749,1.283047583572441,42.08918053234942,4.1085059934283645,215.0,19.047910521874066,4.587499923706055,111078.0,33551.98501053314,1.038182283666174,14.785974580578028
84.974228784,56.5088632185,3610,18.62771433973908,79.26005598253101,0.2105663496001953,3.026248330154092,1.970863420886472,54.349185114665744,18.56061871873177,9.98396248960257,3.690539368473088,1.7571353804966203,100.51148009220732,4.582328876441959,142.0,23.48,2.3000000000000003,522193.0,23696.65689122605,2.4922324628776096,11.734960558694835
43.436617171,56.2428107424,3840,14.225243983132978,80.77218674331358,0.1257413251290588,2.1827894070160183,3.5961140016273414,43.34780222877076,7.2507536587195,9.22734883822086,3.442356537963471,1.6416852910516355,94.21642153391096,3.5608201124049548,138.83333333333331,22.17222239176432,2.6,207747.0,14680.103910044434,1.5796843853819915,2.658311423681397
43.8752550683,56.3026196285,3853,15.76472615053213,79.25393130410616,0.1737713250045791,2.831767881707341,1.8426048760340588,33.91154480740471,21.18478348439166,10.32095158809352,3.722085024111776,1.4013550058671542,80.14672447541491,3.766500554520636,160.89999999999998,22.39999992370605,2.646666687011719,711695.0,20750.161657732595,4.089138608305177,-0.2063102397990235
101.602291782,56.1400754787,4011,17.053479760109973,75.64273175074592,0.2723533620021576,2.732025709937354,2.152663361314875,56.90273216796312,21.36045143982708,8.518646345903445,4.139369389405712,1.1927940774391137,434.63057491577854,3.840429675315984,119.875,25.125000190734863,2.0625000381469727,111222.0,16134.965159770549,3.2998547008547234,8.007420243382853
